Label,a,b,c,d,e,f
0,11.01565139,0.915237389,0.118060606,0.179362722,2.568623204,0.55210496
0,11.69793597,0.837300069,0.405259485,0.119375829,2.235238602,0.350582197
0,8.90386862,1.186505498,0.50998508,0.10015756,3.574518703,0.305540514
0,8.226079669,0.633914273,0.186025466,0.119753603,1.759869875,0.323399682
0,11.12494745,0.901839806,-0.154208173,0.192442775,2.251435277,0.574350903
0,11.8793553,0.760831782,-0.433125413,0.068571175,2.01422587,0.194071585
0,9.080976437,0.843697231,-0.455363348,0.110244754,2.28036639,0.30863948
0,8.819966204,0.59344197,-0.166792636,0.13604347,1.65564246,0.384309698
0,10.86186853,0.729176721,0.196019262,0.150396513,1.999605378,0.399934576
0,11.51683113,0.688278425,0.366614876,0.055193487,1.739928298,0.129940484
0,8.494570124,0.750612701,0.461269616,0.051455092,1.974882797,0.145010881
0,8.794357805,1.012178173,0.29049273,0.194967276,2.702623289,0.536764218
0,10.73645764,0.577435463,-0.229478072,0.117020741,1.550574234,0.363515397
0,11.56883469,0.37573326,-0.359598429,0.08509166,0.994786187,0.255610774
0,9.221359426,0.501831575,-0.551407406,0.09323058,1.519823789,0.262103943
0,8.542507814,0.685560294,-0.227800578,0.100093422,1.595249272,0.231499719
0,11.1388084,0.969314926,0.150298048,0.144686871,2.845728269,0.377114395
0,11.43453429,0.546416911,0.486691077,0.122096529,1.49074495,0.31062067
0,9.236467139,0.837368965,0.471909831,0.079941169,2.149525842,0.225095022
0,8.37589033,0.507822266,0.212724256,0.112851707,1.547113132,0.341629227
0,11.57837499,0.832913232,-0.185908402,0.076350509,2.506801907,0.233503603
0,11.47231184,0.736575308,-0.416293012,0.111019031,2.099847755,0.295772083
0,8.643407386,0.562744075,-0.454191405,0.067717452,1.497335993,0.169111324
0,8.46092879,0.450300364,-0.311779893,0.151513228,1.138936133,0.427930843
0,10.92896896,1.022759211,0.094394118,0.176223054,2.81818903,0.53405596
0,11.3282433,0.356162344,0.385445073,0.057954573,1.073215022,0.156356286
0,8.548723042,0.819045867,0.480932451,0.06325618,2.431282167,0.161839881
0,8.470572035,0.421647107,0.257995797,0.108302749,1.238713833,0.26617064
0,10.58194688,0.814250984,-0.092861142,0.142406745,2.420271706,0.400622504
0,11.41546151,0.712509718,-0.461405094,0.091198456,1.796073857,0.241065709
0,8.735811555,0.819424771,-0.401087812,0.128345913,2.067248285,0.324843972
0,8.067406764,0.624884178,-0.309530159,0.095222218,1.922827636,0.254671135
0,11.17454056,0.913622233,0.123805953,0.153620423,2.802598778,0.418502731
0,11.38135438,0.642436698,0.390601687,0.130859748,1.525024004,0.319320104
0,8.833714433,0.727020217,0.470026197,0.096184044,2.221773893,0.247288796
0,8.487021937,1.202410693,0.249408639,0.134141684,3.293464651,0.35365789
0,11.28966145,0.715690288,-0.194209777,0.225067997,1.887988272,0.674800259
0,11.79861664,0.610588668,-0.390925117,0.097706092,1.722402299,0.283495516
0,9.224827467,0.523832564,-0.535040552,0.07011184,1.316612099,0.1775591
0,8.221530241,0.304276534,-0.271346855,0.122012398,0.858072215,0.343512046
0,11.19203846,0.635293864,0.243159877,0.097221879,1.92091022,0.231164098
0,11.79353637,0.854836442,0.35455989,0.047227472,2.350341627,0.107394403
0,9.028652549,0.529818362,0.478368738,0.121463371,1.448526599,0.335363843
0,8.300707578,0.553666466,0.205080384,0.193927253,1.40325547,0.506164852
0,11.2930863,0.791419609,-0.138047103,0.09614999,1.98860861,0.272344411
0,11.42776504,0.767159815,-0.413940324,0.115425695,1.913902585,0.30099585
0,9.120266056,0.73907206,-0.403285546,0.096149455,2.060748621,0.288514736
0,8.456307069,0.854224433,-0.310678307,0.167922075,2.277066393,0.429003508
0,11.13043996,0.950213456,0.135462081,0.074322699,2.946713882,0.200163711
0,11.27886142,0.86360006,0.348414829,0.154802829,2.386249643,0.42255509
0,8.692091548,0.732730919,0.406805131,0.095578666,2.067130948,0.267224902
0,8.756892686,0.708250006,0.214789651,0.189902839,1.826458618,0.499209979
